url,POSTING_CARD_GALLERY,CARD_FAV,price_value,price_type,expenses_value,expenses_type,location,POSTING_CARD_FEATURES,description,CARD_VIEWPHONE,CARD_WHATSAPP,CARD_CONTACT_MODAL,address,square_meters_area,rooms,bedrooms,bathrooms,phone,parking
/propiedades/clasificado/veclappa-dueno-vende-depto-con-patio-55332842.html,29,,119000,USD,130000,$,"Colegiales, Capital Federal",65 m² tot.1 amb.1 dorm.1 baño,"Contacto: Tomás. Cel: Ver datos. Apto crédito hipotecario. Se firma reserva con clausula Ad Referendum de 45 días. Excelente ubicación conectado con lineas de tren, subte y colectivos. Monoambiente divisible con 30 metros cuadrados de patio. Muy luminoso. Anafe electrico con 2 hornallas, agua caliente central del edificio. Sin conexion de gas. Boleta de agua incluida en expensas mensuales. Aire acondicionado frio-calor. Patio de uso exclusivo de esta unidad. El edificio cuenta con sum, parrilla y laundry. Apto profesional. Se escuchan ofertas razonables, veni a visitarlo y charlamos. *Dueño directo vende. Inmobiliarias por favor no enviar Whatsapp, dejar su mensaje por esta plataforma*",,WhatsApp,Contactar,Avenida Elcano & Crámer,65,1,1,1,,
/propiedades/clasificado/veclappa-excepcional-departamento-dueno-vende-55027264.html,24,,740000,USD,760000,$,"Palermo Chico, Palermo",200 m² tot.6 amb.3 dorm.3 baños1 coch.,Consta de 3 dormitorios (1 en suite) Escritorio Dependencias de Servicio Lavadero Cocina Living y Comedor con Vista al Rio. Todos pisos de Parquet Aire Acondicionado en cada ambiente Calefacciòn Central. Balcon corrido al frente y contrafrente. Un Departamento por piso Servicio de Porteria y Seguridad,,,Contactar,Av. Pres. Figueroa Alcorta 3600,200,6,3,3,,1
/propiedades/clasificado/veclappa-dueno-vende.-apto-credito.-54694490.html,9,,84000,USD,80000,$,"Recoleta, Capital Federal",38 m² tot.1 amb.1 baño,"Apto profesional. Porcelanato. Edificio 6 años. Segundo piso con balcón a la calle. Aire acondicionado frío calor. Termo tanque eléctrico. Ascensor. Excelente ubicación cercana a Av. Santa Fe, Av. Córdoba y Alto Palermo.",,,Contactar,Sánchez de Bustamante 1336,38,1,,1,,
/propiedades/emprendimiento/ememvein-edificio-de-pisos-alfonsina-u$s-288.000-con-cochera-51881731.html,9,,288000,USD,,,"Puerto Madryn, Chubut",8 un.4 amb.,"Es un nuevo emprendimiento de lovelle ingenieria, consta de 2 locales comerciales en planta baja Y 8 pisos de un depto por piso de 130 M2 con terraza Y balcon, con inmejorable vista al muelle de cruceros Y cochera propia dentro del piso que se accede por un ascensor vehicular",,WhatsApp,Contactar,AV ROCA 706,,4,,,,
/propiedades/clasificado/veclapin-dueno-vende-casa-4-amb-sunny-tigre-55556155.html,20,,209000,USD,,,"Remeros Beach, Rincón de Milberg",196 m² tot.4 amb.3 dorm.3 baños1 coch.,"Venta directa sin comisión inmobiliariadueño vende casa 4 ambientes con cochera. entrega fines 2025sunny nace bajo la premisa de crear una comunidad que busca un estilo de vida que se adapte a las nuevas formas de cohabitar actuales y también a los principios de un nuevo urbanismo. Casas con jardín, donde desde el confort interior se vive el afuera, conectado con la naturaleza, lo social y un mundo de actividades. Donde se favorecen los encuentros y las relaciones. Un complejo cerrado de casas estilo funcional. De arquitectura moderna, ligera, integral y sustentable. Con salida directa y conectado con el río y el paseo costero de Camino de los Remeros. Integrado por la bicisenda y sendero aeróbico in-out. Calidad de vida. Seguridad. Lejos del ruido. Cerca de todo. especificaciones - Garita de control para acceso vehicular y peatonal. - Seguridad 24 hs + Cerco perimetral. - Calle de acceso en bloques de hormigón pre-moldeados. - Pisos de acceso a unidades y cocheras de cemento alisado. - sum con gimnasio y co-work. - Plaza con juegos infantiles. - Pileta climatizada + Solarium y sector niños. especiales- Sunny Plaza: Sector central de amenities. - Muelle propio sobre Pista Nacional de Remo. - Flota propia de botes. - Sendero aeróbico Sunny in-out, con conexión con Paseo Costero Camino de los Remeros. - Estación de carga para autos eléctricos. - Baños- Griferías y accesorios de baños fv o Roca. - Artefactos de baño Ferrum o similar. - Mesada de baño mármol New Beige o similar. - Mueble blanco laqueado o enchapado.",,WhatsApp,Contactar,Esquiu al 401,196,4,3,3,,1
/propiedades/clasificado/veclappa-dueno-vende-depto-2-amb-muy-luminoso-55408680.html,8,,140000,USD,150000,$,"Palermo, Capital Federal",42 m² tot.2 amb.1 dorm.1 baño,"Luminoso Departamento de 2 Ambientes con Balcón en Palermo. Ubicado en el quinto piso de un edificio moderno y bien mantenido, este departamento de 2 ambientes ofrece espacios amplios, funcionales y llenos de luz en una de las zonas más tranquilas de Palermo. Living comedor (4, 2m x 3, 9m) con cocina integrada (2, 3m x 1, 5m), diseño práctico y salida a un balcón al frente (4m x 1m), ideal para disfrutar del aire libre. Dormitorio (3, 5m x 2, 9m) con placard empotrado y ventana al contrafrente, brindando mayor privacidad y tranquilidad. Baño completo (2, 3m x 1, 6m) con bañera. Pasillo de distribución (5m x 1m), optimizando la circulación del espacio. Calefacción por losa radiante con caldera a gas, garantizando un ambiente cálido y confortable. El edificio cuenta con servicio de limpieza tercerizado y sin encargado permanente, lo que ayuda a mantener bajas las expensas. Ubicación privilegiada: A solo 4 cuadras de Av. Santa Fe (Subte D) y 2 cuadras del Boulevard Charcas, en un entorno rodeado de cafés, comercios y espacios verdes. Orientación Noroeste. Piso 5 de 7. ¡Una excelente oportunidad para vivir en una de las mejores zonas de la ciudad! Contáctanos para coordinar una visita.",,WhatsApp,Contactar,Vidt 1600,42,2,1,1,,
/propiedades/clasificado/veclappa-dueno-vende-excelente-departamento-de-4-ambientes-55057345.html,17,,265000,USD,198000,$,"Colegiales, Capital Federal",105 m² tot.4 amb.3 dorm.2 baños1 coch.,"Dueño vende/ Excelente departamento de 4 ambientes con dependencia de servicio o escritorio. 4to piso. Pallier privado, doble circulación. Lavadero independiente. Tres amplios y luminosos dormitorios. Placards de excelente calidad en cada habitación. Tres baños (un toilette y un baño de servicio). Loza radiante. Termotanque para agua caliente. Tres ascensores. Entrada principal y de servicio. Cochera espacio guardacoches. Baulera y guarda bicicletas. Balcón francés hacia amplio y luminoso pulmón. Opción de venta con o sin muebles. Posee cortinas, aires acondicionados y ventiladores de techo, parte del mobiliario. Inmejorable ubicación a media cuadra de Av Cabildo y a dos cuadras de subte linea D estación Olleros. Zona de colegios privados y municipales. Expensas Diciembre 2024 $Ver datos. Un encargado 24 horas. Cámaras de seguridad en accesos y cochera. El consorcio permite perros en el edificio. Inmobiliarias abstenerse.",,,Contactar,Maure,105,4,3,2,,1
/propiedades/clasificado/veclappa-dueno-vende-2-ambientes-caballito-sur-54471431.html,18,,114990,USD,100000,$,"Caballito Sur, Caballito",48 m² tot.2 amb.1 dorm.1 baño,"Dueño directo vende. Sin intermediarios Ni comisión. Listo para Escriturar. !! Inmobiliarias abstenerse por favor!! Caballito sur - a Metros de Pedro Goyena. 2 Ambientes a Estrenar. Miro 449, Caballito, caba. con posibilidad de cochera cubierta. 48m2 – 1er Piso al contrafrente con balcon aterrazado. Cocina Integrada completa con muebles. Conexión para Lavarropas. Ambientes muy luminosos, todos con ventilación, incluido el baño. Placard de recepción. Agua Caliente central. Conexión para equipos de aire acondicionado. Excelentes terminaciones y calidad constructiva. Bajas Expensas. Edificio sin Porteria.",,WhatsApp,Contactar,Miró 449,48,2,1,1,,
/propiedades/clasificado/veclapin-dueno-directo-vende-monoambiente-a-estrenar-en-54023952.html,19,,32500,USD,28200,$,"Ciudadela, Tres de Febrero",30 m² tot.1 amb.1 baño,"Unidad 119 en el edificio ""La Auténtica Ciudadela"". A estrenar, con entrega inmediata. La unidad 119 es un monoambiente de 30 mts² cubiertos ubicado en el primer piso. Es un depto. A estrenar, y está equipado con cocina Domec, mesada de granito, muebles bajo mesada y alacenas, conexión para lavarropas y pre-instalación de aire acondicionado. Baño completo con bañera, sanitarios Ferrum, grifería Fv y extractor. El edificio cuenta con cableado de Personal Flow y Telecentro. Consulte por cocheras, cubiertas o descubiertas, con o sin baulera. Cuenta con seguridad 24 hs. , monitoreo por cámaras de seguridad, cocheras cubiertas y descubiertas, salón de usos múltiples (sum), gimnasio con vestuarios, plaza de juegos infantiles, espacio cowork, terraza con parrillas, solarium y paneles solares para el consumo de electricidad de espacios comunes, que abaratan las expensas. El edificio ""La Auténtica Ciudadela"" está ubicado en la calle Rafaela 3590 (esquina Rucci), Ciudadela; a 4 cuadras de Av. Rivadavia y 5 de Gral. Paz. Cuenta con seguridad 24 hs. , monitoreo por cámaras de seguridad, cocheras cubiertas y descubiertas, salón de usos múltiples (sum), gimnasio con vestuarios, plaza de juegos infantiles, espacio cowork, terraza con parrillas, solarium y paneles solares para el consumo de electricidad de espacios comunes, que abaratan las expensas. Tenemos departamentos desde U$S 32. 500 pagando de contado. También podés acceder a financiación propia, pagando 30% de contado y el 70% restante en cuotas fijas y mensuales en dólares. Todos los departamentos son a estrenar y con entrega inmediata. Ubicación extratégica - a 4 cuadras de Av. Rivadavia y 5 cuadras de Gral. Paz. Paseo comercial en planta baja, con 4 locales a calle Rucci y 3 locales a Rafaela. Financiación propia: 30% de anticipo más 20 cuotas fijas. Venta directa sin comisión",,WhatsApp,Contactar,Rafaela,30,1,,1,,
/propiedades/clasificado/veclappa--dueno-vende-semipiso-al-frente-con-cochera-cubierta-55619419.html,22,,317000,USD,254000,$,"Palermo Nuevo, Palermo",70 m² tot.4 amb.3 dorm.1 baño1 coch.,"Excelente Semipiso con. doble circulación, luminoso. Posee 3. dormitorios: dos con vista. al frente y un tercero que. se utiliza como estudio. con amplias ventanas y puertas corredizas, baño completo. más 1 toilette de recepción, pisos. de madera plastificado, Caldera dual individual. Baxi nueva, sistema de. calefacción por radiadores individuales con termostatos. en todos los ambientes, aires acondicionados bgh y sanyo, persianas eléctricas. Portero. visor, lavadero cubierto, y cocina ambos con. Ventanas al pulmón, balcón. corrido largo de 8, 40 mts. con pisos de porcelanato. antideslizante, puerta blindada Paizer, cochera. cubierta fija, baulera, cámáras de seguridad, encargado con vivienda y. terraza de usos múltiples. El edificio tiene 8 pisos. con 2 Semipisos por piso. Se encuentra a una cuadra. de Av Libertador, una cuadra. de John F Kennedy, a una cuadra del Rosedal con vista a este y a una de. la embajada de eeuu. Zona de mucha seguridad. ""apto credito. Y blanqueo"". No atiendo inmobiliarias.",,WhatsApp,Contactar,Fray Justo Santa María de Oro 2976/78,70,4,3,1,,1
/propiedades/clasificado/veclappa-dueno-vende-3-ambientes-c-cocina-independiente-55590516.html,14,,134990,USD,180000,$,"Palermo, Capital Federal",55 m² tot.3 amb.2 dorm.1 baño,"Dueño directo vende. Sin intermediarios Ni comisión. Todo al dia para Escriturar. apto credito. !! Inmobiliarias abstenerse por favor!! Palermo, Capital Federal. Departamento de 3 ambientes Con cocina independiente. Maure 2350, a metros de Av Cabildo. 3er piso Contrafrente. 55m2 Totales. Cocina independiente con Caldera Individual. Cocina a gas. Lavadero separado con conexion para lavarropas. Dos amplias habitaciones con grandes placares. Entra una cama de 2 plazas en cada habitación, de forma cómoda, como se puede apreciar en las fotos. Pisos de parquet. Se entrega con 2 equipos de Aire acondicionado instalados. Instalacion eléctrica hecha a nuevo recientemente. Excelente estado general. Bajas Expensas. Edificio sin Porteria.",,WhatsApp,Contactar,Maure 2350,55,3,2,1,,
/propiedades/clasificado/veclappa-dueno-vende-excelente-departamento-reciclado-a-nuevo-55517233.html,13,,235000,USD,335000,$,"Belgrano R, Belgrano",81 m² tot.4 amb.3 dorm.1 baño1 coch.,"Muy luminoso departamento reciclado a nuevo en un piso alto con gran circulación de aire. Palier semi privado, una cochera fija en segundo subsuelo. Aire acondicionado frio/calor en todos los ambientes. Edificio muy bien ubicado a 2 cuadras de la estación de tren Belgrano R y a 6 cuadras del subte D",,WhatsApp,Contactar,Avenida Juramento 3170,81,4,3,1,,1
/propiedades/clasificado/veclappa-dueno-vende-semipiso-san-juan-3620-u$s-62.500-54124892.html,22,,62500,USD,53000,$,"Echesortu, Distrito Centro",67 m² tot.1 dorm.1 baño1 coch.,"Semipiso de impecable estado en edificio con ascensor con ubicación privilegiada en el corazón de barrio Echesortu en cercanía a Av. Mendoza, donde convergen comercios de todo tipo, bancos, escuelas, cafeterias, gimnasios, entre otros. Departamento de 1 dormitorio grande con 46 metros reales de superficie exclusiva en excelente estado, recién pintado, con portero eléctrico y sistema de seguridad tags magnéticos para acceso. semipiso muy luminoso con Pisos simil madera, aberturas de aluminio, mosquitero, persiana de enrollar en habitación, - expensas $53. 000. - balcón al frente Y otro balcón al contrafrente-ventilación cruzada. - 1 dormitorio con balcón propio. Cuenta con placard grande de puertas corredizas con interior y puerta balcón con persiana de enrollar. - cocina separada del living comedor totalmente vidriada, con Calefón nuevo marca Longvie y Cocina con horno a gas. - living comedor con balcón A la calle, con barral para cortina y Estufa nueva marca Orbis de 4500 kcal. - baño completo con bañera y estractor. el departamento cuenta con Pre instalación para aire acondicionado y Pre instalación para lavarropas. *unidad alquilada con excelente renta mensual $303. 000 Y actualización cuatrimestral por ipc. *precio U$S62. 500 (no incluye cochera en el precio) * cochera grande en planta baja + baulera U$S 20. 000. venta por dueño directo- sin gasto de comisión inmobiliaria",,WhatsApp,Contactar,San Juan 3620,67,,1,1,,1
/propiedades/clasificado/veclapin-dueno-directo-vende-2-ambientes-a-estrenar-en-edificio-48550154.html,19,,58000,USD,41800,$,"Ciudadela, Tres de Febrero",44 m² tot.2 amb.1 dorm.1 baño,"Unidad 318 en el edificio ""La Auténtica Ciudadela"". 2do Piso, externo. A estrenar, entrega inmediata. La unidad 318 es un 2 ambientes de 43, 68 mts² cubiertos ubicado en un tercer piso. Es un depto. A estrenar, y está equipado con cocina Domec, mesada de granito, muebles bajo mesada y alacenas, conexión para lavarropas y pre-instalación de aire acondicionado. Baño completo con bañera, sanitarios Ferrum, grifería Fv y extractor. El edificio cuenta con cableado de Personal Flow y Telecentro. Consulte por cocheras, cubiertas o descubiertas, con o sin baulera. Cuenta con seguridad 24 hs. , monitoreo por cámaras de seguridad, cocheras cubiertas y descubiertas, salón de usos múltiples (sum), gimnasio con vestuarios, plaza de juegos infantiles, espacio cowork, terraza con parrillas, solarium y paneles solares para el consumo de electricidad de espacios comunes, que abaratan las expensas. El edificio ""La Auténtica Ciudadela"" está ubicado en la calle Rafaela 3590 (esquina Rucci), Ciudadela; a 4 cuadras de Av. Rivadavia y 5 de Gral. Paz. Cuenta con seguridad 24 hs. , monitoreo por cámaras de seguridad, cocheras cubiertas y descubiertas, salón de usos múltiples (sum), gimnasio con vestuarios, plaza de juegos infantiles, espacio cowork, terraza con parrillas, solarium y paneles solares para el consumo de electricidad de espacios comunes, que abaratan las expensas. Tenemos departamentos desde U$S 32. 500 pagando de contado. También podés acceder a financiación propia, pagando 30% de contado y el 70% restante en cuotas fijas y mensuales en dólares. Todos los departamentos son a estrenar y con entrega inmediata. Ubicación extratégica - a 4 cuadras de Av. Rivadavia y 5 cuadras de Gral. Paz. Paseo comercial en planta baja, con 4 locales a calle Rucci y 3 locales a Rafaela. Financiación propia: 30% de anticipo más 20 cuotas fijas. Venta directa sin comisión",,WhatsApp,Contactar,rafaela 3590,44,2,1,1,,
/propiedades/clasificado/veclapin-dueno-directo-vende-3-ambientes-a-estrenar-en-edificio-53601256.html,32,,81000,USD,125000,$,"Ciudadela, Tres de Febrero",64 m² tot.3 amb.2 dorm.1 baño,"Dueño directo vende unidad 310 en el edificio de categoría ""La Auténtica Ciudadela"". Departamento tres ambientes de 58, 2 mts² cubiertos y 5, 04 mts² descubiertos, ubicado en tercer piso. Es un depto. A estrenar, y está equipado con cocina Domec, mesada de granito, muebles bajo mesada y alacenas, conexión para lavarropas y pre-instalación de aire acondicionado en cada uno de sus ambientes. Placard en ambos dormitorios. Balcón en habitación principal y en el living. Baño equipado con sanitarios Ferrum, grifería Fv y extractor. El edificio cuenta con cableado de Personal Flow y Telecentro. Este depto. Es único ya que a pesar de tener cocina incorporada al living, está dividida permitiendo tener un comedor diario y un living-comedor por separado. Además al estar ubicado en la esquina tiene doble orientación Norte-Este, teniendo así luz de mañana y de tarde. Los grandes ventanales le dan una gran corriente de aire que permite tener ventilación natural en todo momento. Tiene terminaciones de primera calidad. Pisos de porcelanato simil madera, vidrio Blindex y amplios placards en ambas habitaciones. Además tiene termotanque Peisa de 80 lts. Todo a estrenar, y ubicado en un edificio único en la zona por los amenities, bajo costo de expensas y seguridad las 24 hs. Consulte por cocheras, cubiertas o descubiertas, con o sin baulera. El edificio ""La Auténtica Ciudadela"" está ubicado en la calle Rafaela 3590 (esquina Rucci), Ciudadela; a 4 cuadras de Av. Rivadavia y 5 de Gral. Paz. Cuenta con seguridad 24 hs. , monitoreo por cámaras de seguridad, cocheras cubiertas y descubiertas, salón de usos múltiples (sum), gimnasio con vestuarios, plaza de juegos infantiles, espacio cowork, terraza con parrillas, solarium y paneles solares para el consumo de electricidad de espacios comunes, que abaratan las expensas. En planta baja hay un paseo comercial conformado por 7 locales y un galpón de 250 mts² cubiertos. Venta directa - sin comisiones. Posibilidad de financiar pagando un 30% de anticipo + saldo en cuotas, con entrega de posesión inmediata.",,WhatsApp,Contactar,rucci 204,64,3,2,1,,
/propiedades/clasificado/veclapin-dueno-directo-vende-3-ambientes-con-terraza-en-48549698.html,43,,108000,USD,185000,$,"Ciudadela, Tres de Febrero",66 m² tot.3 amb.2 dorm.1 baño,"Dueño directo vende Unidad 217 en el edificio de categoría ""La Auténtica Ciudadela"". Departamento tres ambientes de 60, 23 mts² cubiertos y amplia terraza de 65, 93 mts² descubiertos ubicado en un segundo piso. Es un depto. A estrenar, y está equipado con cocina Domec, mesada de granito, muebles bajo mesada y alacenas, conexión para lavarropas y pre-instalación de aire acondicionado en todos los ambientes. Gran isla que separa sector cocina de living. Pisos de porcelanato símil madera. Baño principal con bañera, sanitarios ferrum, grifería Fv y extractor. Todos los dormitorios tienen gran luminosidad y amplio placard. Tiene además terraza propia de más de 65 mts² con parrilla. El edificio cuenta con cableado de Personal Flow y Telecentro. Consulte por cocheras, cubiertas o descubiertas, con o sin baulera. El edificio ""La Auténtica Ciudadela"" está ubicado en la calle Rafaela 3590 (esquina Rucci), Ciudadela; a 4 cuadras de Av. Rivadavia y 5 de Gral. Paz. Cuenta con seguridad 24 hs. , monitoreo por cámaras de seguridad, cocheras cubiertas y descubiertas, salón de usos múltiples (sum), gimnasio con vestuarios, plaza de juegos infantiles, espacio cowork, terraza con parrillas, solarium y paneles solares para el consumo de electricidad de espacios comunes, que abaratan las expensas. En planta baja hay un paseo comercial conformado por 7 locales y un galpón de 250 mts² cubiertos. Venta directa - sin comisiones. Posibilidad de financiar pagando un 30% de anticipo + saldo en cuotas, con entrega de posesión inmediata.",,WhatsApp,Contactar,Rafaela 3590,66,3,2,1,,
