url,POSTING_CARD_GALLERY,price_value,price_type,expenses_value,expenses_type,square_meters_area,rooms,bedrooms,bathrooms,parking
/propiedades/clasificado/veclapin-venta-4-ambientes-chateau-puerto-madero-53174639.html,16,920000,USD,400000,$,200,4,3,2,1
/propiedades/clasificado/veclapin-apto-credito.-venta-depto-las-canitas-4-amb-mas-dep.-54185226.html,33,370000,USD,233000,$,110,5,4,3,1
/propiedades/clasificado/veclapin-apto-credito.-venta-3-ambientes-con-cochera-fija-y-54655054.html,30,154000,USD,170000,$,73,3,2,1,1
/propiedades/clasificado/veclapin-venta-depto-3-amb-mas-dependencia-balcon-las-canitas-55202254.html,30,168000,USD,425000,$,70,3,3,1,
/propiedades/clasificado/veclapin-apto-credito.-venta-3-amb-duplex-1-dorm-mas-escritorio-54155316.html,30,180000,USD,160000,$,65,3,1,1,
/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-full-amenities-con-55514270.html,24,145000,USD,190000,$,58,2,1,2,1
/propiedades/clasificado/veclapin-apto-credito.-venta-departamento-semipiso-imprenta-55066208.html,17,298000,USD,300000,$,109,4,3,2,1
/propiedades/clasificado/alclapin-alquiler-monoambiente-full-amenities-en-belgrano-r-55306853.html,22,475000,$,130000,$,35,1,1,1,
/propiedades/clasificado/veclapin-venta-2-ambientes-belgrano-full-amenities-ant-y-cuotas-53362522.html,13,105000,USD,,,40,2,1,1,
/propiedades/clasificado/teclapin-aquiler-temporal-con-patio-proio-2-ambientes-en-las-55613741.html,21,600000,$,,,46,2,1,1,
/propiedades/clasificado/veclapin-venta-duplex-balcon-frente-terraza-propia-belgrano-r-a-53922433.html,21,269000,USD,,,144,3,2,2,
/propiedades/clasificado/veclapin-apto-credito.-venta-4-ambientes-duplex-dependencia-55403024.html,13,299000,USD,150000,$,140,4,3,2,
/propiedades/clasificado/veclapin-apto-credito.-venta-monoambiente-amplio-con-patio-54606835.html,17,95000,USD,40000,$,43,1,1,1,
/propiedades/clasificado/veclapin-3-ambientes-cochera-fija-cubierta-a-estrenar-full-53696358.html,14,225000,USD,,,78,3,2,1,1
/propiedades/clasificado/veclapin-venta-monoambiente-balcon-frente-belgrano-r-a-estrenar-55266786.html,12,97500,USD,,,40,1,1,1,
/propiedades/clasificado/veclapin-apto-credito.-venta-depto-semipiso-3-dorm.-55281216.html,25,173800,USD,100000,$,111,4,3,2,
/propiedades/clasificado/veclapin-venta-exclusivo-monoambiente-en-nunez-55256781.html,34,125000,USD,80000,$,46,1,1,1,
/propiedades/clasificado/vecllcin-venta-de-local-comercial-con-renta-en-belgrano-54927442.html,24,174000,USD,,,77,2,,1,
/propiedades/clasificado/veclapin-apto-credito-vista-abierta-luminoso-reciclado-55612151.html,29,87000,USD,127000,$,35,2,1,1,
/propiedades/clasificado/veclapin-apto-credito.-venta-departamento-3-ambientes-luminoso-55280766.html,18,110000,USD,80000,$,70,3,2,2,
/propiedades/clasificado/alclapin-alquiler-imprenta-palermo-amoblado-ambiente-divisible-53717898.html,6,500000,$,,,40,1,1,1,
/propiedades/clasificado/veclapin-venta-2-ambientes-al-frente-full-amenities-saavedra-54483709.html,21,149000,USD,,,51,2,1,1,1
/propiedades/clasificado/veclapin-departamento-en-barrio-norte-retiro-3-ambientes-52924572.html,25,149000,USD,195000,$,85,3,2,2,
/propiedades/clasificado/veclcain-casa-quinta-apto-credito-en-garin-6280-m-sup2--dos-54698499.html,48,160000,USD,,,6280,12,7,4,5
/propiedades/clasificado/alclapin-departamento-de-1-ambiente-a-estrenar-ubicado-con-55531828.html,23,590000,$,50000,$,36,1,1,1,
/propiedades/clasificado/veclapin-venta-3-ambientes-pozo-palermo-hollywood-pileta-53963950.html,15,198000,USD,,,90,3,2,2,
/propiedades/clasificado/alclapin-alquiler-2-ambientes-full-amenities-con-cochera-fija-55429499.html,32,950,USD,300000,$,48,2,1,2,1
/propiedades/clasificado/veclapin-apto-credito-oro-y-av-libertador-reciclada-3-55281276.html,12,175000,USD,90000,$,55,3,2,1,
/propiedades/clasificado/veclcain-venta-casa-c.-spegazzini-bo-la-gilera-3-ambientes-55545660.html,27,75000,USD,,,492,3,2,2,1
/propiedades/clasificado/veclapin-departamento-en-zona-premium-de-la-imprenta-planta-55561207.html,25,69000,USD,60000,$,45,2,1,1,
/propiedades/clasificado/veclapin-apto-credito.-venta-monoambiente-con-patio-bajas-54726537.html,17,95000,USD,40000,$,42,1,1,1,
/propiedades/clasificado/veclapin-venta-depto-3-ambientes-las-canitas-70-m-sup2-55233025.html,35,159800,USD,98000,$,70,3,2,1,
/propiedades/clasificado/veclapin-apto-credito.-venta-depto-balvanera-2-dorm-muy-53878645.html,18,74500,USD,40000,$,50,3,2,2,
/propiedades/clasificado/veclapin-venta-3-dorm.-con-patio-y-cochera-en-palermo-55584397.html,20,185000,USD,300000,$,107,4,3,2,1
/propiedades/clasificado/alclapin-alquiler-temporario-en-palermo-53929309.html,13,750,USD,,,35,1,,1,
/propiedades/clasificado/veclapin-venta-depto-semipiso-4-amb-dep-cochera-movil-belgrano-55599842.html,38,260000,USD,390000,$,112,4,3,1,1
/propiedades/clasificado/veclcain-venta-casa-4-ambientes-con-jardin-cochera-parrilla-en-54879012.html,24,400000,USD,,,1000,4,3,3,1
