url,POSTING_CARD_GALLERY,price_value,price_type,expenses_value,expenses_type,location,POSTING_CARD_FEATURES,description,CARD_FAV,POSTING_CARD_PUBLISHER,CARD_VIEWPHONE,CARD_WHATSAPP,CARD_CONTACT_MODAL,address,square_meters_area,rooms,bedrooms,bathrooms,parking
/propiedades/clasificado/veclcain-venta-casa-v.-lopez-3-dorm-3-plantas-ascensor-cochera-54948620.html,34,850000,USD,,,"Vicente López, Vicente López",562 m² tot.6 amb.3 dorm.2 baños1 coch.,"Venta casa en vicente lopez 3 dormitorios habitaciones de servicio 3 plantas cochera jardin quinchopileta parrilla ascensorunidad: 3 dormitoriosliving comedorplayroomhabitaciones de serviciocochera3 baños1 toilettejardinpiletaparrillaquinchoascensordistribucion: planta baja: Jardín de Invierno con piso de lajaToiletteCocheraHabitaciones de servicio (sala de planchado, lavadero, baño) piso 1: Por escalera o ascensorEscritorio, Cocina con muebles bajo mesada, Amplio Living comedor con ventanales al jardín y Aire Acondicionadopiso 2: Por escalera o ascensorDos dormitorios, uno de ellos en suite con Aire Acondicionado y vestidor. Baño con doble ducha. BalcónTodo con pisos de madera Patagonia. Subsuelo: Playroom amplio, caldera que alimenta agua caliente a toda la casa, otros dos dormitorios a renovar, o de servicio. Gran espacio de pileta, jardín, quincho con parrilla y vestuarios con baño. La casa tiene escalera de servicio que va desde la cocina al subsuelo. La escalera principal comunica la pb con los pisos 1 y 2. Ubicación excelente, a 5 cuadras de Avenida Maipú, 2 cuadras de Av del Libertador y Estación Vicente López del ffcc Mitre Consulta por esta propiedad ahora. WhatsApp: Ver datosOficina: Ver datosvende y compra con lexinton, inmobiliaria lider en realizar compra / venta simultanea. Tasaciones profesionales. Las medidas, superficies y valores de esta ficha son aproximadas y a título informativo únicamente. Martillera y Corredor Responsable: nora levi cmcpsi 6006 y cucicba 5059Todas las propiedades que figuran en el perfil de Lexinton se encuentran a cargo del profesional matriculado que corresponda, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por esta persona. Lexinton Propiedades es una marca registrada. Matricula Provincia de Buenos Aires: nora levi cmcpsi 6006Matricula Ciudad de Buenos Aires: cucicba 5059",,,,WhatsApp,Contactar,Eduardo Madero al 1000,562,6,3,2,1
/propiedades/clasificado/veclapin-monoambiente-en-el-corazon-del-centro-porteno-55124399.html,16,46500,USD,110000,$,"Retiro, Capital Federal",24 m² tot.1 amb.1 dorm.1 baño,"Oportunidad de Inversión - Monoambiente en Retiro, Centro PorteñoMonoambiente en el corazón del Centro Porteño - Retiro, ideal para inversores. Ubicación estratégica a solo una cuadra de la Avenida 9 de Julio, con acceso rápido a toda la ciudad. Apto para crédito y blanqueo, facilitando el acceso financiero a este inmueble. Propiedad luminoso y en perfecto estado de conservación, equipada con aire acondicionado. Edificio de categoría, con seguridad privada las 24 horas y sistema de cctv monitoreado estrictamente, garantizando seguridad total. Laundry y gimnasio. A solo siete cuadras de Puerto Madero y su oferta gastronómica, ideal para disfrutar de la zona más exclusiva de la ciudad. A tres cuadras de Plaza Lavalle, el icónico Teatro Colón y los principales teatros de Buenos Aires, perfectos para disfrutar de la cultura. Esta es una inversión única, en una ubicación privilegiada y con un precio accesible para obtener alta rentabilidad en el futuro. ¡No pierdas esta oportunidad! Consulta por esta propiedad ahora. WhatsApp: Ver datosOficina: Ver datosvende y compra con lexinton, inmobiliaria lider en realizar compra / venta simultanea. Tasaciones profesionales. Las medidas, superficies y valores de esta ficha son aproximadas y a título informativo únicamente. Martillera y Corredor Responsable: nora levi cmcpsi 6006 y cucicba 5059Todas las propiedades que figuran en el perfil de Lexinton se encuentran a cargo del profesional matriculado que corresponda, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por esta persona. Lexinton Propiedades es una marca registrada. Matricula Provincia de Buenos Aires: nora levi cmcpsi 6006Matricula Ciudad de Buenos Aires: cucicba 5059",,,,WhatsApp,Contactar,Viamonte al 800,24,1,1,1,
/propiedades/clasificado/vecllcin-venta-local-microcentro-54687353.html,14,190000,USD,,,"Centro / Microcentro, Capital Federal",70 m² tot.,"Venta de Local Comercial en Ubicación Estratégica Viamonte, a metros de Peatonal FloridaEste local comercial se encuentra en una de las zonas más transitadas y comerciales de Buenos Aires, a metros de la Peatonal Florida y frente al icónico Shopping Galerías Pacífico. La ubicación ofrece una visibilidad y afluencia de público inigualables, ideal para todo tipo de emprendimiento. Características destacadas: Local de excelente visibilidad en la calle Viamonte, una arteria clave de la ciudad. A solo pasos de Peatonal Florida, uno de los puntos comerciales más importantes del país. Frente a Galerías Pacífico, atrayendo un gran caudal de visitantes y turistas diariamente. Gran potencial comercial gracias a su ubicación céntrica y el constante flujo peatonal. Posibilidad de expansión: Existe la opción de adquirir el local contiguo para obtener un doble frente, lo que incrementa las posibilidades de un mayor espacio y una mejor presencia comercial. Este local es una oportunidad única para quienes buscan establecer o expandir su negocio en una de las zonas comerciales más exclusivas y concurridas de Buenos Aires. ¡Contáctanos para más información y coordinar una visita! Consulta por esta propiedad ahora. WhatsApp: Ver datosOficina: Ver datosvende y compra con lexinton, inmobiliaria lider en realizar compra / venta simultanea. Tasaciones profesionales. Las medidas, superficies y valores de esta ficha son aproximadas y a título informativo únicamente. Martillera y Corredor Responsable: nora levi cmcpsi 6006 y cucicba 5059Todas las propiedades que figuran en el perfil de Lexinton se encuentran a cargo del profesional matriculado que corresponda, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por esta persona. Lexinton Propiedades es una marca registrada. Matricula Provincia de Buenos Aires: nora levi cmcpsi 6006Matricula Ciudad de Buenos Aires: cucicba 5059",,,,WhatsApp,Contactar,Viamonte al 500,70,,,,
/propiedades/clasificado/veclapin-apto-credito.-venta-monoambiente-amplio-con-patio-54606835.html,17,95000,USD,40000,$,"Villa Pueyrredón, Capital Federal",43 m² tot.1 amb.1 dorm.1 baño,"Apto credito. Venta - Amplio - Monoambiente Apaisado - Patio - En Villa Peyrredon Amplio monoambiente completamente divisible con patio bajas expensas cocina a gas integrada bajo mesada y alacenas baño completoPatio con conexion para lavarropas y con posibilidad de colocar una parrilla propiaEdificio de dos pisos cuatro deptos por piso con ascensor Diseño funcional y bien pensado. Detalles de Categoria, Un sistema de aire acondicionado frío-calor El ambiente principal es amplio, permitiéndote personalizarlo según tus necesidades con salida al patio Este monoambiente es ideal para quienes buscan un estilo de vida práctico y moderno. Consulta por esta propiedad ahora. WhatsApp: Ver datosOficina: Ver datosvende y compra con lexinton, inmobiliaria lider en realizar compra / venta simultanea. Tasaciones profesionales. Las medidas, superficies y valores de esta ficha son aproximadas y a título informativo únicamente. Martillera y Corredor Responsable: nora levi cmcpsi 6006 y cucicba 5059Todas las propiedades que figuran en el perfil de Lexinton se encuentran a cargo del profesional matriculado que corresponda, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por esta persona. Lexinton Propiedades es una marca registrada. Matricula Provincia de Buenos Aires: nora levi cmcpsi 6006Matricula Ciudad de Buenos Aires: cucicba 5059",,,,WhatsApp,Contactar,Caracas al 4600,43,1,1,1,
/propiedades/clasificado/alclapin-alquiler-2-ambientes-full-amenities-con-cochera-fija-55382891.html,32,950,USD,300000,$,"Palermo, Capital Federal",48 m² tot.2 amb.1 dorm.2 baños1 coch.,"Alquiler 2 ambientes en torre full amenities con cochera fija cubierta en palermosin mueblesLuminoso e impecable departamento en Torre Topacio Full Amenities al frente El edificio de categoria cuenta con: Seguridad con control de acceso 24 hsS. U. M. Piscinas: 1 in -out en el piso 21 con vistas panorámicas a toda la Ciudad y al Río de la Plata; 2da piscina para niñosSolariums con reposeras y camastrosSauna y vestidoresGimnasioQuincho con ParrillaApto profesionalPisos de porcelanato. Cocina separada Artefactos eléctricos. Balcón al frente, orientacion esteAires acondicionados frío/calorDormitorio con placard alto y buen lugar de guardado. Conexión para instalación de lavarropas y termotanque eléctrico. Carpinterías con vidrio doble exceletne unidad Sitios de interés cercanos: a metros de Av. Coronel Díaz, Universidad de Palermo, Hospital Gutiérrez, Alto Palermo Shopping, Polo gastronómico Palermo Soho, Teatros, Hospital Alemán. Medios de transporte: Colectivos: 29, 39, 92, 99, 106, 109, 111, 128, 140, 151, 160, 188 cercano a Subtes líneas B Y dconsulta por esta propiedad ahora. WhatsApp: Ver datosOficina: Ver datosvende y compra con lexinton, inmobiliaria lider en realizar compra / venta simultanea. Tasaciones profesionales. Las medidas, superficies y valores de esta ficha son aproximadas y a título informativo únicamente. Martillera y Corredor Responsable: nora levi cmcpsi 6006 y cucicba 5059Todas las propiedades que figuran en el perfil de Lexinton se encuentran a cargo del profesional matriculado que corresponda, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por esta persona. Lexinton Propiedades es una marca registrada. Matricula Provincia de Buenos Aires: nora levi cmcpsi 6006Matricula Ciudad de Buenos Aires: cucicba 5059",,,,WhatsApp,Contactar,Gorriti al 3500,48,2,1,2,1
/propiedades/clasificado/veclapin-vista-torre-amenities-2-ambientes-bano-toilete-venta-54422509.html,14,139000,USD,174000,$,"Colegiales, Capital Federal",49 m² tot.2 amb.1 dorm.1 baño,"Vista - torre amenities + 2 ambientes + baño + toilete + venta departamento colegiales piso alto excelente vista a la ciudadliving comedor. 7 X 3/3. 5mtoil de Recepciondormitorio en Suite49m² totales 43m² cubiertos 7m balcón corrido (Living Comedor y Dormitorio) Baño completo + toiletteCocina c/ barra, anafe, horno eléctricoPiscinas, gym en piso 25, solárium, parrillasSeguridad 24 hsUbicación privilegiada a 2 cuadras de Av. Álvarez Thomas y 3 de Av. ForestTodos los medios de transporte disponibles Consulta por esta propiedad ahora. WhatsApp: Ver datosOficina: Ver datosvende y compra con lexinton, inmobiliaria lider en realizar compra / venta simultanea. Tasaciones profesionales. Las medidas, superficies y valores de esta ficha son aproximadas y a título informativo únicamente. Martillera y Corredor Responsable: nora levi cmcpsi 6006 y cucicba 5059Todas las propiedades que figuran en el perfil de Lexinton se encuentran a cargo del profesional matriculado que corresponda, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por esta persona. Lexinton Propiedades es una marca registrada. Matricula Provincia de Buenos Aires: nora levi cmcpsi 6006Matricula Ciudad de Buenos Aires: cucicba 5059",,,,WhatsApp,Contactar,Charlone al 500,49,2,1,1,
/propiedades/clasificado/alclapin-alquiler-2-ambientes-full-amenities-con-cochera-fija-55429499.html,32,950,USD,300000,$,"Recoleta, Capital Federal",48 m² tot.2 amb.1 dorm.2 baños1 coch.,"Alquiler 2 ambientes en torre full amenities con cochera fija cubierta en recoletasin mueblesLuminoso e impecable departamento en Torre Topacio Full Amenities al frente El edificio de categoria cuenta con: Seguridad con control de acceso 24 hsS. U. M. Piscinas: 1 in -out en el piso 21 con vistas panorámicas a toda la Ciudad y al Río de la Plata; 2da piscina para niñosSolariums con reposeras y camastrosSauna y vestidoresGimnasioQuincho con ParrillaApto profesionalPisos de porcelanato. Cocina separada Artefactos eléctricos. Balcón al frente, orientacion esteAires acondicionados frío/calorDormitorio con placard alto y buen lugar de guardado. Conexión para instalación de lavarropas y termotanque eléctrico. Carpinterías con vidrio doble exceletne unidad Sitios de interés cercanos: a metros de Av. Coronel Díaz, Universidad de Palermo, Hospital Gutiérrez, Alto Palermo Shopping, Polo gastronómico Palermo Soho, Teatros, Hospital Alemán. Medios de transporte: Colectivos: 29, 39, 92, 99, 106, 109, 111, 128, 140, 151, 160, 188 cercano a Subtes líneas B Y dconsulta por esta propiedad ahora. WhatsApp: Ver datosOficina: Ver datosvende y compra con lexinton, inmobiliaria lider en realizar compra / venta simultanea. Tasaciones profesionales. Las medidas, superficies y valores de esta ficha son aproximadas y a título informativo únicamente. Martillera y Corredor Responsable: nora levi cmcpsi 6006 y cucicba 5059Todas las propiedades que figuran en el perfil de Lexinton se encuentran a cargo del profesional matriculado que corresponda, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por esta persona. Lexinton Propiedades es una marca registrada. Matricula Provincia de Buenos Aires: nora levi cmcpsi 6006Matricula Ciudad de Buenos Aires: cucicba 5059",,,,WhatsApp,Contactar,Gorriti al 3500,48,2,1,2,1
/propiedades/clasificado/veclapin-apto-credito-vista-abierta-luminoso-reciclado-55612151.html,29,87000,USD,127000,$,"Villa Urquiza, Capital Federal",35 m² tot.2 amb.1 dorm.1 baño,"Apto credito. Vista abierta - luminoso - reciclado - 1 dormitorio - venta departamento villa urquiza1 dormitorio - frente ideal renta todos los medios de transporte Características Destacadas: Ubicación: A solo 1 cuadra de Av. De los Incas, en el frente de la edificación. Distribución: Amplio living comedor. Baño completo con jacuzzi. Cocina con barra americana. Dormitorio acogedor (3m x 3m). Equipado con 2 Aires Acondicionados frío/calor, termotanque y cocina eléctrica. Sistema de seguridad con alarma y caja fuerte instalados. Conexiones listas para internet, tv cable y teléfono de línea. Consulta por esta propiedad ahora. WhatsApp: Ver datosOficina: Ver datosvende y compra con lexinton, inmobiliaria lider en realizar compra / venta simultanea. Tasaciones profesionales. Las medidas, superficies y valores de esta ficha son aproximadas y a título informativo únicamente. Martillera y Corredor Responsable: nora levi cmcpsi 6006 y cucicba 5059Todas las propiedades que figuran en el perfil de Lexinton se encuentran a cargo del profesional matriculado que corresponda, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por esta persona. Lexinton Propiedades es una marca registrada. Matricula Provincia de Buenos Aires: nora levi cmcpsi 6006Matricula Ciudad de Buenos Aires: cucicba 5059",,,,WhatsApp,Contactar,Triunvirato al 3800,35,2,1,1,
/propiedades/clasificado/veclapin-venta-2-ambientes-en-belgrano-55230033.html,14,87000,USD,85000,$,"Belgrano, Capital Federal",45 m² tot.2 amb.1 dorm.1 baño,"Departamento 2 ambientes en belgrano. Departamento 2 ambientes reciclado a nuevo ubicado en el barrio de Belgrano. Cocina-comedor integrada al living y dividida por barra desayunadora. Amplio Living, posee pisos de parquet en muy buen estado. La cocina es moderna y completa, con pisos de cemento alisado con conexion para lavarropas El dormitorio es amplio, cuenta con placard de pared y ventana con vista a la calle. El baño es completo, Tanto la cocina como el baño están hechos a nuevos, incluyendo cañerías. A Pasos de cabildo y a metros de la estación de Subte Congreso de Tucumán, Línea D. y del Metrobus oportunidad! Consulta por esta propiedad ahora. WhatsApp: Ver datosOficina: Ver datosvende y compra con lexinton, inmobiliaria lider en realizar compra / venta simultanea. Tasaciones profesionales. Las medidas, superficies y valores de esta ficha son aproximadas y a título informativo únicamente. Martillera y Corredor Responsable: nora levi cmcpsi 6006 y cucicba 5059Todas las propiedades que figuran en el perfil de Lexinton se encuentran a cargo del profesional matriculado que corresponda, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por esta persona. Lexinton Propiedades es una marca registrada. Matricula Provincia de Buenos Aires: nora levi cmcpsi 6006Matricula Ciudad de Buenos Aires: cucicba 5059",,,,WhatsApp,Contactar,Rivera al 2400,45,2,1,1,
/propiedades/clasificado/veclapin-venta-depto-semipiso-4-amb-dep-cochera-movil-belgrano-55599842.html,38,260000,USD,390000,$,"Belgrano R, Belgrano",112 m² tot.4 amb.3 dorm.1 baño1 coch.,"Venta semipiso 4 ambientes dependencia cochera movil belgrano R contrafrente 112m2 totales en segundo pisounidad: living comedorcocina3 dormitoriosescritorio /lavaderobañotoilettebalconcaracteristicasliving Comedor con Aire AcondicionadoCocina con muebles bajo mesada y alacenaDormitorio principal con Aire AcondicionadoPisos de parquet plastificadoAmbientes luminososBalcón al contrafrenteCalefacción centralCochera cubierta móvilUbicación excelente en Belgrano R, a 2 cuadras de Av Monroe, 3 de Av Cramer, 2 cuadras de Estación Belgrano R del ffcc MitreConsulta por esta propiedad ahora. WhatsApp: Ver datosOficina: Ver datosvende y compra con lexinton, inmobiliaria lider en realizar compra / venta simultanea. Tasaciones profesionales. Las medidas, superficies y valores de esta ficha son aproximadas y a título informativo únicamente. Martillera y Corredor Responsable: nora levi cmcpsi 6006 y cucicba 5059Todas las propiedades que figuran en el perfil de Lexinton se encuentran a cargo del profesional matriculado que corresponda, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por esta persona. Lexinton Propiedades es una marca registrada. Matricula Provincia de Buenos Aires: nora levi cmcpsi 6006Matricula Ciudad de Buenos Aires: cucicba 5059",,,,WhatsApp,Contactar,Freire al 2200,112,4,3,1,1
