url,POSTING_CARD_GALLERY,CARD_FAV,price_value,price_type,expenses_value,expenses_type,location,POSTING_CARD_FEATURES,description,CARD_VIEWPHONE,CARD_WHATSAPP,CARD_CONTACT_MODAL,address,square_meters_area,rooms,phone,bedrooms,bathrooms,parking
/propiedades/clasificado/veclphpa-dueno-directo-vende-depto-tipo-ph-3-amb-con-galeria-en-54868217.html,15,,69000,USD,65000,$,"Balvanera, Capital Federal",55 m² tot.3 amb.,"Depto tipo ph en planta baja ubicado en el corazón de Congreso, a 2 cuadras de Av. Rivadavia, 2 cuadras de Av. Belgrano y 3 cuadras de Av. Entre Ríos. El subte A (estaciones Congreso y Pasco) se encuentra a 3 cuadras, y a pocas cuadras a la redonda circula gran cantidad de líneas de colectivos. A 1 cuadra se encuentra la Plaza 1° de Mayo y a 2 cuadra el Shopping Spinetto. Al ingresar a la unidad nos encontramos con un luminoso y amplio patio tipo galería cubierta, a la cual dan todos los ambientes. El ambiente principal actualmente se encuentra sin pared divisoria (antiguamente eran dos ambientes) permitiendo una infinidad de posibilidades, ya que la propiedad tiene 4 metros de altura. Un segundo ambiente, conectado con el principal, contiene un pequeño entrepiso de 1, 80 mts de altura ya armado, a modo de loft con ventana que nos da una vista total de la unidad. En el otro extremo de la unidad, nos encontramos con un ambiente pequeño que también contiene un entrepiso usado, actualmente, como baulera. Baño completo con inodoro, bidet y bañera. Cocina independiente con calefón. Frente al baño y cocina tenemos un espacio que se usa de desayunador. La unidad cuenta con conexión instalada para lavarropas. Todos los ambientes tienen pisos de cerámica. -dueño directo-",,WhatsApp,Contactar,Adolfo Alsina 2000,55,3,1165821028,,,
/propiedades/clasificado/veclphpa-dueno-vende-casa-al-frente-54779564.html,20,,85999,USD,,,"Avellaneda, Avellaneda",220 m² tot.,"Propiedad en excelente estado de conservación, cuanta con 5 ambientes, patio interno que aporta gran iluminación natural, amplia terraza. En una ubicación de fácil acceso a las principales avenidas, y a unos 300 mts de acceso a puente Pueyrredón mano a Capital Federal",,,Contactar,Ameghino,220,,1165821028,,,
/propiedades/clasificado/veclphpa-vendo-ph-dueno-directo-sin-expensas-55347204.html,8,,58000,USD,,,"Villa Santa Rita, Capital Federal",48 m² tot.3 amb.1 dorm.1 baño,"Vendo ph, dueño directo, apto credito, sin expensas, para refaccionar, 2 ambientes con baño en suite, con patio cubierto y terraza compartida con parrilla",,,Contactar,galicia,48,3,1165821028,1,1,
/propiedades/clasificado/veclphpa-dueno-directo-vende-ph-2-ambientes-con-patio-en-55599414.html,17,,125000,USD,,,"Villa Urquiza, Capital Federal",55 m² tot.2 amb.1 dorm.1 baño,"Ubicación estratégica, a metros de Av. Congreso. Un ph con diseño funcional, luz natural y sin expensas. ¡Listo para mudarte! Planta Baja: Amplio living-comedor, con piso de cerámica y un gran ventanal con vista al patio privado. Baulera artesanal de madera barnizada, ideal para una decoración minimalista y funcional. Cocina integrada, con conexión para lavarropas. Baño completo con ventana, con pisos de microcemento pintado. Superficie cubierta: 30, 67 m². Entrepiso: Dormitorio con amplio placard y gran ventanal con vista al patio, que aporta luminosidad y ventilación natural. Superficie cubierta: 12, 84 m². Superficies Totales: Cubierta: 43, 51 m² Descubierta (patio privado): 12, 25 m² Total: 55, 76 m² Características que lo hacen único: sin expensas. Patio privado, ideal para desayunos al aire libre. Cortinas blackout en ventanas, para mayor confort. Calefacción por Split frío/calor. Tablero eléctrico renovado. Antigüedad: 13 años, con refacciones recientes. Posibilidad de instalar una escalera caracol en el patio, habilitando una pequeña terraza. Solo 6 unidades en el complejo, asegurando privacidad y tranquilidad. Ubicación Estratégica – Todo Cerca: A 200 m de Av. Congreso, con restaurantes y comercios. A 300 m de Av. Balbín. Cerca de Plaza Eslovaquia y Parque Sarmiento, perfectos para actividades al aire libre. Accesibilidad: Líneas de colectivo cercanas: • Av. Congreso: 41, 76, 107, 169. • Av. Balbín: 19, 41, 67, 107, 114 y 169. • Valdenegro: 71, 127. • Miller: 90. A 9 cuadras de la Estación Luis María Drago (Tren Mitre). A 10 cuadras del Subte B (Estación Juan Manuel de Rosas). Ideal para: Parejas jóvenes y/o profesionales que buscan un hogar cómodo, funcional y bien ubicado! ¡Mirá las fotos y coordina una visita!",,WhatsApp,Contactar,Iberá,55,2,1165821028,1,1,
/propiedades/clasificado/veclphpa-dueno-vende-imponente-ph-de-7-ambientes-y-terraza-55106789.html,40,,350000,USD,,,"Saavedra, Capital Federal",172 m² tot.7 amb.5 dorm.3 baños,"Importante: inmobiliarias no llamar Y por favor no insisitir. Mucho menos remax! Dueño vende sin comisión, ph sin expensas íntegramente hecho a nuevo en un 100% hace 5 años. Distribución: en pb, son tres dormitorios, uno en suite + cocina amplísima y moderna, con Living Comedor integrado de 3. 5 x 8, todo luz y sol + baño completo. En Planta Alta dos dormitorios mas con baño con ducha y lavadero + baulera. En la misma planta la Increíble Terraza con Quincho parrilla de frente de acero inoxidable, pileta de lavar, lavavajilla y termotanque de alta recuperación. Pileta con sistema de filtrado con bomba y filtro vulcano y cascada de retorno. Todos los ambientes tienen Aire Acondicionado y todos los ambientes incluidos baños poseen radiadores modernos. Vale mucho la pena visitarla. Importante: inmobiliarias no llamar Y por favor no insisitir. Mucho menos remax! Solo tomo casa sobre lote propio en saavedra, florida este O nuñez. No insistir otros barrios.",,WhatsApp,Contactar,Vedia 2523,172,7,1165821028,5,3,
/propiedades/clasificado/veclphin-dueno-vende-casa-4-amb-sunny-tigre-55575734.html,20,,209000,USD,,,"Remeros Beach, Rincón de Milberg",196 m² tot.4 amb.3 dorm.3 baños1 coch.,"Venta directa sin comisión inmobiliariadueño vende casa 4 ambientes con cochera. entrega fines 2025sunny nace bajo la premisa de crear una comunidad que busca un estilo de vida que se adapte a las nuevas formas de cohabitar actuales y también a los principios de un nuevo urbanismo. Casas con jardín, donde desde el confort interior se vive el afuera, conectado con la naturaleza, lo social y un mundo de actividades. Donde se favorecen los encuentros y las relaciones. Un complejo cerrado de casas estilo funcional. De arquitectura moderna, ligera, integral y sustentable. Con salida directa y conectado con el río y el paseo costero de Camino de los Remeros. Integrado por la bicisenda y sendero aeróbico in-out. Calidad de vida. Seguridad. Lejos del ruido. Cerca de todo. especificaciones - Garita de control para acceso vehicular y peatonal. - Seguridad 24 hs + Cerco perimetral. - Calle de acceso en bloques de hormigón pre-moldeados. - Pisos de acceso a unidades y cocheras de cemento alisado. - sum con gimnasio y co-work. - Plaza con juegos infantiles. - Pileta climatizada + Solarium y sector niños. especiales- Sunny Plaza: Sector central de amenities. - Muelle propio sobre Pista Nacional de Remo. - Flota propia de botes. - Sendero aeróbico Sunny in-out, con conexión con Paseo Costero Camino de los Remeros. - Estación de carga para autos eléctricos. - Baños- Griferías y accesorios de baños fv o Roca. - Artefactos de baño Ferrum o similar. - Mesada de baño mármol New Beige o similar. - Mueble blanco laqueado o enchapado.",,WhatsApp,Contactar,Esquiu al 401,196,4,1165821028,3,3,1
/propiedades/clasificado/veclphin-duenos-venden-casa-p.-a.-y-local-comercial-avda-espana-52242152.html,27,,175000,USD,,,"Río Cuarto, Córdoba",332 m² tot.4 dorm.3 baños,"Increíble oportunidad! Dueños venden en Rio Cuarto, casa en calle Avenida España, P. A. , inmejorable ubicación! En diagonal al paseo Rivera, consta de 3 dormitorios, con pisos parquet, placares de madera lustrada, con estantes, barrales, cajoneras y baulera, amplio baño principal, con sanitario, bidet, ducha y placar, living comedor sumamente amplio y luminoso, ventanales en semicírculo, escritorio con placar, despensa con placar, comedor de diario con mueble de guardado con puertas corredizas y dos hojas, con estantes y cajones, cocina con mesada de granito, con puertas corredizas, pasillo lateral, patio central, lavadero, baño social, espectacular terraza con asador, posee todos los servicios, agua, luz y gas natural, en funcionamiento. Wi fi – cable- importante balcón que se vincula con local comercial, (que se puede adaptar como unidad habitacional o bien cochera el mismo está construido en planta baja, planta alta y altillo. Entre ambas propiedades, (casa y Local), hacen una Superficie Total Edificada de 250 m2. El inmueble consta de una edificación, proyectada y construida, para funcionar como Local comercial y Vivienda, con pequeños espacios de trabajo, privados y de servicios, Dispuesta medialmente, con orientación Este a Oeste. Los espacios son reducidos y se articulan con un pequeño pasaje y escalera interna para el ascenso desde la planta baja a la planta alta y altillo. Precio total de las dos propiedades: U$S 175. 000. - dolar billete gastos de escritura A cargo del comprador",,WhatsApp,Contactar,Avenida Españ,332,,1165821028,4,3,
/propiedades/clasificado/veclphin-vende-departamento-tipo-casa-3-amb.-c-patio-y-53165853.html,12,,42000,USD,,,"Remedios de Escalada, Lanús",85 m² tot.2 amb.1 dorm.1 baño,"Departamento tipo casa en el contrafrente con entrada independiente, compuesto por cocina comedor, living comedor, dormitorio, baño completo, patio semicubierto con lavadero, terraza con una habitación de 4 X 4 en la terraza. Buen estado! Apto A credito! Consulte financiacion por dueño. Nota: Las medidas informadas son solo orientativas, las medias exactas son las que se detallan en su título.",,WhatsApp,Contactar,3 DE FEBRERO,85,2,1165821028,1,1,
/propiedades/clasificado/veclphpa-dueno-vende-ph-sin-expensas-55326263.html,11,,148000,USD,,,"Núñez, Capital Federal",65 m² tot.3 amb.2 dorm.1 baño,"Ph de 3 ambientes en duplex, 65mts2 cubiertos y totales, 2 dormitorios, 1 baño completo y 1 toilette. Muy luminoso en inmejorable ubicación. A estrenar sin comisión! Apto crédito.",,,Contactar,Campos Salles,65,3,1165821028,2,1,
/propiedades/clasificado/veclphpa-dueno-directo-vende-47675845.html,18,,179000,USD,,,"Palermo Chico, Palermo",46 m² tot.3 amb.2 dorm.2 baños,"Hermoso ph totalmente reciclado a nuevo. Ubicado a tres cuadras del Alto Palermo y dos del subte línea D. En tres plantas. Dos dormitorios contiguos, más escritorio, dos baños, amplia terraza propia. No paga expensas. Por escritura 46 mts.",,WhatsApp,Contactar,Julián Álvarez 2400,46,3,1165821028,2,2,
