price_value,bathrooms,expenses_value,CARD_CONTACT_MODAL,description,phone,parking,CARD_VIEWPHONE,price_type,square_meters_area,url,rooms,location,POSTING_CARD_FEATURES,expenses_type,bedrooms,CARD_WHATSAPP,POSTING_CARD_GALLERY,CARD_FAV,address
110000,1,95000,Contactar,"Departamento 2 ambientes de amplias dimensiones, la unidad se encuentra en pb, posee un patio grande, hoy tiene un cerramiento del 80% del mismo que brinda un espacio adicional para usar de escritorio o quincho. Al ingresar al departamento nos encontramos con un living comedor amplio que se conecta con la cocina y un lavadero independiente, posee baño completo y dormitorio con placard que se conecta con el patio. - Sup. Cubierta: 39, 33 m2 / Sup. Descubierta: 21, 14 descubierta (Actualmente tiene un cerramiento del 80% de esa superficie aproximadamente) - Excelente ubicación a 150 mts de Av. Santa Fe, cerca del subte D y numerosas lineas de colectivo. - Zona residencial cerca del Alto Palermo, colegios y comercios. - Encargado en edificio. - El baño y la cocina fueron actualizados hace unos años.",,,,USD,60,/propiedades/clasificado/veclapin-departamento-2-ambientes-semipiso-luminoso-lavadero-55408977.html,2,"Palermo, Capital Federal",60 m² tot.2 amb.1 dorm.1 baño,$,1,WhatsApp,23,,Bulnes al 1800
Consultar precio,1,,Contactar,"Unidad 1J- Exclusivo 2 ambientes al contrafrente. Funcionalidad: Escritorio, toillete, living comedor con cocina completa integrada y dormitorio en suite con vestidor. mova Cramer Tower está emplazado en la esquina de Av. Cramer y Mendoza, en uno de las locaciones más buscadas de la ciudad por su cercanía a colegios, medios de transporte y comercios. Características del edificio: • Emplazado en un lote de 45 metros de frente sobre Mendoza y 16 metros de frente sobre Av. Cramer. • Exclusivas unidades de 1, 2, 3 y 4 ambientes• 14 pisos • 3 ascensores de última generación (uno de ellos tipo camillero) . • 2 subsuelos de cocheras • Excelente calidad de terminaciones Amenities (Piso 9) : • Gran Pileta• Solarium• Vestuarios• Gimnasio• Terraza con parrillas• Amplio sum con cocina • Toilettes • Sector de juegos para niños• Área coworking (pb) Situación del proyecto: • Fecha de entrega: Noviembre 2027Forma de pago: Adelanto 15% + cuotas en Pesos (ajustadas con el índice cac) . Valor cocheras: usd 35. 000 (1er subsuelo) usd 30. 000 (2do subsuelo) Desarrolla: Mett In Real Estate / Construye: Constructora Bilbao / Comercializa: Soldati Valeria Soldati -cucicba- Mat. Nº 7305Valeria Soldati - cmcpsi - Mat. Nº 6818",,,,,61,/propiedades/clasificado/veclapin-mova-cramer-tower-2-ambientes-al-contrafrente-55543632.html,2,"Belgrano, Capital Federal",61 m² tot.2 amb.1 dorm.1 baño,,1,WhatsApp,12,,Av. Cramer 2200 1J
113500,1,,Contactar,"¡ph de 2 ambientes con terraza propia en venta, en villa crespo! Solo 4 unidades en el lote, al contrafrente 1º piso por escalera, ingreso por hall de entrada, amplio living comedor, gran dormitorio con enorme placard de pared A pared Y de piso A techo Y escritorio, baño completo con ventilación natural, un pequeño patio de 2 X 1, 5 con acceso dos terrazas, una de 3, 4 X 1, 3 Y la segunda de 6, 5 X 3, 3 con un quincho de 4, 2 X 3, 5, todo en excelente estado, agua caliente por calefón, artefacto de cocina A gas! ¡no paga expensas! No apto credito. Actualmente tiene 91 mts2 totales, por título son 47mts2 totales. en excelente ubicación, A 1 cuadra de la av, juan B. Justo (metrobus), A 1 cuadra de av. Corrientes (subte linea ""B""), A 3 cuadras de av. Dorrego Y A 5 cuadras de av. Córdoba. ""Se deja expresamente aclarado que el valor consignado de expensas queda sujeto a variación y/o ajustes y que las medidas de los ambientes son orientativas, las reales surgirán del título de propiedad respectivo. "" fotos de carácter no contractual. xintel(ber-ber-Ver datos)",,,,USD,91,/propiedades/clasificado/veclapin--ph-con-terraza-propia-sin-expensas-en-exc.-55642064.html,2,"Villa Crespo, Capital Federal",91 m² tot.2 amb.1 dorm.1 baño,,1,WhatsApp,36,,VILLARROEL 1200. Entre Humboldt y Darwin
Consultar precio,,,Contactar,"Mova Cramer Tower está emplazado en la esquina de Av. Cramer y Mendoza, en uno de las locaciones más buscadas de la ciudad por su cercanía a colegios, medios de transporte y comercios. Características del edificio: • Emplazado en un lote de 45 metros de frente sobre Mendoza y 16 metros de frente sobre Av. Cramer. • Exclusivas unidades de 1, 2, 3 y 4 ambientes• 14 pisos • 3 ascensores de última generación (uno de ellos tipo camillero) . • 2 subsuelos de cocheras • Excelente calidad de terminaciones Amenities (Piso 9) : • Gran Pileta• Solarium• Vestuarios• Gimnasio• Terraza con parrillas• Amplio sum con cocina • Toilettes • Sector de juegos para niños• Área coworking (pb) Situación del proyecto: • Fecha de entrega: Noviembre 2027Forma de pago: Adelanto 15% + cuotas en Pesos (ajustadas con el índice cac) . Proyecto aprobado y registrado bajo la nueva Ley de Blanqueo. Valor cocheras: usd 35. 000 (1er subsuelo) usd 30. 000 (2do subsuelo) Desarrolla: Mett In Real Estate / Construye: Constructora Bilbao / Comercializa: SoldatiValeria Soldati -cucicba- Mat. Nº 7305Valeria Soldati - cmcpsi - Mat. Nº 6818",,,,,176,/propiedades/emprendimiento/ememvein-mova-cramer-tower-55377744.html,4,"Belgrano, Capital Federal",57 un.1 a 4 amb.35 a 176 m² tot.,,,WhatsApp,10,,Av. Cramer 2210
98000,1,350000,Contactar,"Atencion rentista. Departamentos duplex enfocados a renta, totalmente equipado para su alquiler temporal/Airbnb en zona turisitica y piso alto con vista abierta a Palacio Paz. La propiedad consta de una unica unidad funcional de 180m2, dividida en 3 departamentos de dos ambientes y 60m2 cada uno. Ingreso a la propiedad por living comedor con cocina integrada, baño completo y salida a balcon, en planta alta, otra salida a balcon y dormitorio con espacio de guardado. La venta es por las 3 unidades en conjunto, ya que constituyen una misma escritura. El valor publicado es por unidad. La venta incluye todo el mobiliario, se entrega lista para que comiences con una rentabilidad en airbnb. Las descripciones arquitectónicas y funcionales, medidas, planos, y valores de expensas, impuestos y servicios son aproximados. Los datos fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización de este aviso, por lo cual pueden arrojar inexactitudes y discordancias con las que surgen de las facturas, liquidaciones, títulos y planos legales del inmueble. El interesado deberá realizar las verificaciones respectivas previamente a la realización de cualquier operación, requiriendo las copias necesarias de la documentación que corresponda. Las fotos pueden estar retocadas y son solo a efecto ilustrativo. Venta supeditada al cumplimiento por parte del propietario de los requisitos de la resolución general Nº 2371 de la afip (pedido de coti). Todas las propiedades que figuran en mi perfil se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él. Corredor inmobiliario: Santiago Baglietto cucicba 8427.",,,,USD,60,/propiedades/clasificado/veclapin-venta-3-departamentos-2amb-oportunidad-inversor-55530109.html,2,"Retiro, Capital Federal",60 m² tot.2 amb.1 dorm.1 baño,$,1,WhatsApp,8,,Marcelo t de Alvear  al 700
Consultar precio,1,,Contactar,"Descubre el innovador edificio sustentable &quot;Cactus Moldes&quot;, ubicado estratégicamente en el corazón de Belgrano. Situado en Moldes 1618, entre Jose Hernandez y Virrey del Pino. La unidad es un amplio dos ambientes todo al frente con balcon dando lugar a un luminoso living comedor y cocina integrada. En el último piso, disfruta de exclusivos amenities que incluyen parrilla, salón de usos múltiples (sum) y piscina, perfectos para relajarte y socializar con vistas panorámicas de la ciudad. Esta es una oportunidad única de inversión con un plan flexible: 60% de anticipo y el saldo en 10 cuotas ajustadas a tus necesidades. Además, la ubicación privilegiada a solo 300 metros de la estación de subte línea D te conecta fácilmente con todos los puntos de la ciudad, ofreciendo accesibilidad incomparable a todos los medios de transporte. No pierdas la oportunidad de ser parte de este proyecto emblemático que combina diseño sustentable, ubicación estratégica y estilo de vida moderno en uno de los barrios más codiciados de Buenos Aires. Diseño de Calidad: Construido por el reconocido estudio Bvarq, bajo la dirección de los arquitectos Berdichevsky y Varela. Entrega Junio 2025Consúltenos sin compromiso!! deptos. comrealchebcpi 1426",,,,,69,/propiedades/clasificado/veclapin-departamento-en-belgrano-2-ambientes-moldes-y-virrey-54333295.html,2,"Belgrano, Capital Federal",69 m² tot.2 amb.1 dorm.1 baño,,1,WhatsApp,11,,Moldes al 1600 Unidad 3 A
Consultar precio,1,,Contactar,"Dúplex de dos ambientes con balcón. La unidad cuenta con dormitorio en suite y baño completo en planta baja y con living comedor con cocina integrada, toilette y balcón en planta alta. Las descripciones, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, sólo se muestran a modo orientativo. Los montos de expensas, tasas e impuestos deben ser confirmados ya que dependen de la fecha en la que se obtuvo la información. En relación a las unidades en proceso de construcción y/o a estrenar, se deja constancia que las superficies expresadas poseen m2 de amenities y no pueden ser consideradas como definitivas. Las fechas de posesión son estimativas y pueden ser reprogramadas por parte de la dirección de obra. Este tipo de inmueble cuenta con acceso para personas con movilidad reducida”.",,,,,97,/propiedades/clasificado/veclapin-duplex-de-2-ambientes-en-belgrano-54494488.html,2,"Belgrano, Capital Federal",97 m² tot.2 amb.1 dorm.1 baño,,1,WhatsApp,12,,3 de Febrero 1415 14º
Consultar precio,,,Contactar,"&quot;Maior Plaza&quot; propone amplios dupléx de 2 ambientes con balcones y gran luminosidad en una inmejorable ubicación. Unidades de 2 y 3 ambientes con dormitorios en suite con balcones y monoambientes con balcones. • Amenities de calidad &quot;Maior&quot;: Piscina con Solarium, Gimnasio, sum, Parrilla y Roof Lounge Disfruta de la tranquilidad de la mejor zona residencial de Belgrano, el verde de Barrancas y los Bosques de Palermo, Muy cerca de shoppings, comercios, entretenimientos, polo gastronómico y todos los medios de transporte. • Moderno hall de acceso con revestimientos de alta calidad y portero visor • Pisos de porcelanato simil madera de primera calidad en living comedor y dormitorios. • Carpinterías dvh (Doble vidrio hermético) con salida al balcón. • Placares con puertas corredizas espejadas y vestidores con su interior incluido. • Mesadas en Silestone o similar. Pileta de acero inoxidable y griferia cromada fv o similar en cocina. • Calefacción central mediante agua caliente con regulación individual por ambientes • Preparación para equipos de aire acondicionado tipo &quot;Split&quot; en todos los ambientes. cocheras optativas posesión estimada septiembre 2025&quot;Las descripciones, medidas, superficies y proporciones consignadas en esta ficha son aproximadas e incluyen m2 de amenities, sólo se muestran a modo orientativo. Las dimensiones definitivas surgirán del plano de división en propiedad horizontal que se apruebe. Las fechas de posesión son estimativas y pueden ser reprogramadas por parte de la dirección de obra&quot;&quot;La información publicada sobre los inmuebles es meramente orientativa y no constituye una oferta vinculante. Todas las descripciones, características, imágenes, planos, medidas, superficies, valores y demás datos son aproximados y/o proporcionados por terceros. Estos están sujetos a modificaciones, así como también a la variación del precio o la retirada de la oferta sin previo aviso, sin que ello genere derecho a reclamo alguno. &quot;",,,,,134,/propiedades/emprendimiento/ememvein-maior-plaza-54247034.html,3,"Belgrano, Capital Federal",15 un.1 a 3 amb.32 a 134 m² tot.,,,WhatsApp,11,,3 de Febrero 1415
115000,1,130000,Contactar,"Moderno Departamento Tipo Dúplex en Villa Urquiza. No es apto crédito. Te presentamos este impecable dúplex de 2 ambientes en dos plantas con tan solo 5 años de antigüedad. Silencioso, cómodo y con una excelente distribución, ideal para quienes buscan un espacio funcional en una de las mejores zonas de Villa Urquiza. Características principales: Planta Baja: • Al ingresar, encontrarás una cocina integrada de diseño moderno, barra desayunador y conexión para el lavarropas. • El living cuenta con salida a un balcón al contrafrente• Toilette• Aire acondicionado frio/calor Planta Alta: • Espaciosa habitación principal con placar emportrado y Balcón privado. • Baño completo• Aire acondicionado frio/calorExtras del edificio: • Construcción moderna con solo 5 años de antigüedad, en excelente estado. • Ubicación estratégica• Agua caliente por caldera central¡Contáctanos para coordinar una visita! Las medidas de este inmueble son aproximadas. Las definitivas surgirán del título de propiedad. Corredores Inmobiliarios Matriculados: Cristian Guirin cpi 6042Diego Lo Nigro csm 2708 - cpi 7530",,,,USD,66,/propiedades/clasificado/veclapin-departamento-en-venta-villa-urquiza-55397105.html,2,"Villa Urquiza, Capital Federal",66 m² tot.2 amb.1 dorm.1 baño,$,1,WhatsApp,32,,De la Tecnica 5556
115000,1,,Contactar,"En el corazón de Monte Castro, Víctor Hugo esquina Av. Jonte a 900 metros de la Plaza Terám, y a 300 mts. De Av. Lope de Vega. Triplex en un primer piso por escalera al contrafrente de 2 ambientes con balcón aterrazado + terraza propia y Lavadero independiente. Al ingreso, en la primera planta, encontramos un living y un baño de recepción, a continuación la Cocina Comedor integrada al ambiente y con salida al primer balcón aterrazado. En la segunda planta, el dormitorio con vestidor y baño completo, en Suit. En la tercera planta, el Lavadero, completo con pileta de lavado y conexión para lavarropas, y salida a la Terraza Propia de 20. 63m2. - - Pisos porcelanato- aa en el living y la habitación- Aire y Sol natural todo el díaMonte Castro es uno de los barrios en los que se encuentra dividida la Ciudad Autónoma de Buenos Aires. Comuna 10. Debe su nombre a Don Pedro Fernández de Castro, que se constituyó propietario de las tierras en 1703. Luego se lo comenzó a conocer como Chacra de Castro o Montes de Castro. Cerca de La Pizzería El Fortín en la esquina de Avenida Álvarez Jonte y Avenida Lope de Vega justo en el límite con el barrio de Villa Luro. ¡el futuro es hoy! ¡Si necesitas vender o comprar, ni lo dudes, puedo ayudarte! @Daniela_Sesto tasamos su propiedad en el diasomos profesionales altamente especializados en tasaciones para obtener el valor real de las propiedades utilizando los criterios más adecuados, respetando y cuidando el patrimonio del cliente que confía en nuestros servicios. aviso legallas medidas son aproximadas, las reales surgen del titulo de propiedad o plano de mensura. Las imágenes son a mero título ilustrativo. Las descripciones y valores de expensas, impuestos y servicios son aproximados y fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización de este aviso. Los precios indicados podrán modificarse sin previo aviso. Venta supeditada al cumplimiento por parte del propietario de la solicitud de coti, requisito de la resolución general Nº 2371 de la afip. Bötts Real Estate sasmartín BottgerMatrícula cucicba 8102 / cmcpsi 6853",,,,USD,93,/propiedades/clasificado/veclapin-venta-triplex-2-amb-con-terraza-monte-castro-54880348.html,2,"Monte Castro, Capital Federal",93 m² tot.2 amb.1 dorm.1 baño,,1,WhatsApp,25,,Víctor Hugo  al 1400
